Type,Category,Credibility,Title,Creator/URL,Content,Retrieval Source
Article,Politics,Fake,NPR: 25 Million Votes For Clinton ‘Completely Fake’ – She Lost Popular Vote,http://yournewswire.com/,http://yournewswire.com/npr-25-million-fake-clinton-votes/,http://www.snopes.com/25-million-fraud-votes-for-clinton/
Tweet,Politics,Fake,"Trump 100% photoshopped his hand bigger for this picture hanging in the white house, which is the most embarassing thing I've ever seen",http://twitter.com,http://archive.is/4ONy5,http://www.snopes.com/trump-photoshopped-hands/
Article,Sexuality,Fake,Female Legislators Unveil ‘Male Ejaculation Bill’ Forbidding The Disposal Of Unused Semen,http://www.burrardstreetjournal.com/,http://www.burrardstreetjournal.com/female-legislators-unveil-male-ejaculation-bill/,http://www.snopes.com/unused-semen-bill/
Article,Politics,Fake,"""Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide""",,http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman arrested for defecating on boss’ desk after winning the lottery""",,https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,BuzzFeed Fake News Report
Article,Politics,Fake,"""Pope Francis Shocks World, Endorses Donald Trump for President, Releases Statement""",,Ending The Fed (removed),BuzzFeed Fake News Report
Article,Politics,Fake,"""Trump Offering Free One-Way Tickets to Africa &amp; Mexico for Those Who Wanna Leave America""",,http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Cinnamon Roll Can Explodes Inside Man’s Butt During Shoplifting Incident""",,https://empireherald.com/cinnamon-roll-can-explodes-inside-mans-butt-during-shoplifting-incident/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Florida man dies in meth-lab explosion after lighting farts on fire"" ",,https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,BuzzFeed Fake News Report
Article,Politics,Fake,"""FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide""",,Denver Guardian (removed),BuzzFeed Fake News Report
Article,Politics,Fake,"""RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album""",,http://heaviermetal.net/rage-against-the-machine-to-reunite-release-donald-trump-diss-album,BuzzFeed Fake News Report
Article,Crime,Fake,"""Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin""",,http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,BuzzFeed Fake News Report
Article,Politics,Fake,"""ISIS Leader Calls for American Muslim Voters to Support Hillary Clinton""",,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,BuzzFeed Fake News Report
Article,Politics,Fake,Hillary Clinton In 2013: “I Would Like To See People Like Donald Trump Run For Office; They’re Honest And Can’t Be Bought”,,http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman Stabbed Her Husband To Death Because He Wouldn't Eat Her ASS!""",,http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,BuzzFeed Fake News Report
Article,World,Fake,"""Robredo: If Elected Vice President Of Duterte, I Will Immediately Resign My Post""",,https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman murders college roommate for sending too many Candy Crush requests""",,https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,BuzzFeed Fake News Report
Article,Politics,Fake,"""Donald Trump Protester Speaks Out: ""I Was Paid $3,500 To Protest Trump's Rally""",,http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,BuzzFeed Fake News Report
Article,World,Fake,"""Drug Kingpin Joaquin 'El Chapo' Guzman Escapes Mexican Prison For The Third Time""",,http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,BuzzFeed Fake News Report
Article,Politics,Fake,Obama passed law for grandparents to get all their grandchildren every weekend,,http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,BuzzFeed Fake News Report
Article,Politics,Fake,"""President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected""",,http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,BuzzFeed Fake News Report
Article,World,Fake,"""Mexican Drug Lord ‘El Chapo’ Breaks Out Of Prison For 3rd Time"" ",,http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,BuzzFeed Fake News Report
Article,Politics,Fake,"Van Full Of Illegals Shows Up To Vote Clinton At SIX Polling Places, Still Think Voter Fraud Is A Myth?",,http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,BuzzFeed Fake News Report
Article,Race,Fake,"""Chick-fil-A President Dan Cathy – 'We Don’t Like The Blacks Either'""",,http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,BuzzFeed Fake News Report
Article,Music,Fake,"""Security Detail Tackles Homeless Man On Oscars Red Carpet, Turned Out To Be Rob Zombie""",,http://heaviermetal.net/security-detail-tackles-homeless-man-on-oscars-red-carpet-turns-out-to-be-rob-zombie,BuzzFeed Fake News Report
Article,Crime,Fake,"""Man shoots off his own penis taking selfies with gun"" ",,https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,BuzzFeed Fake News Report
Article,Politics,Fake,Pence: “Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had” ,,http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,BuzzFeed Fake News Report
Article,Sexuality,Fake,"""Pro-Lifers Declare ""Ejaculation Is Murder: Every Sperm Cell Is A Life"" ",,http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Man’s Penis Gets Ripped Off After Attempting To Rape A Pit Bull""",,https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,BuzzFeed Fake News Report
Article,Crime,Fake,Fort Wayne Man Dressed As Clown Shot In Head; Condition Critical - Daily Finesser,,https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,BuzzFeed Fake News Report
Article,Politics,Fake,Rupaul claims Trump touched him inappropriately in the 1990s,,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,BuzzFeed Fake News Report
Article,Science,Fake,Los Angeles Tap Water Contains 12% Xanax and 4% OxyCodone,,http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,BuzzFeed Fake News Report
Article,Science,Fake,"Saudi Arabia: Panel of Scientists admits Women are Mammals, yet ‘Not Human’",,http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,BuzzFeed Fake News Report
Article,Politics,Fake,African Billionaire Will Give $1 Million To Anyone Who Wants To Leave America if Donald Trump is Elected President,,https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,BuzzFeed Fake News Report
Article,Crime,Fake,"Girl Infects 586 Men With HIV On Purpose, Plans On Infecting 2,000 More Before 2017 - TRENDING",,http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,BuzzFeed Fake News Report
Article,Crime,Fake,Casey Anthony Starts Home Daycare Business In Florida,,http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,BuzzFeed Fake News Report
Article,Crime,Fake,"Daycare Busted Running Toddler Fightclub, Parents Outraged",,http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,BuzzFeed Fake News Report
Article,Politics,Fake,Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th,,http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,BuzzFeed Fake News Report
Article,Politics,Fake,"Mike Pence: “Sarah Palin Is My Role Model For Beautiful, Smart American Women” - Newslo",,http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,BuzzFeed Fake News Report
Article,Politics,Fake,Graham Says Christians Must Support Trump or Face Death Camps,,http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,BuzzFeed Fake News Report
Article,Politics,Fake,BREAKING Romanian Hacker With Access To Clinton Emails Found Dead In Jail Cell,,Christian Times (removed),BuzzFeed Fake News Report
Article,Religion,Fake,The United States Revokes Scientology's Tax-Exempt Status - ABC News,,http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,BuzzFeed Fake News Report
Article,Race,Fake,Michael Jordan Says I Won’t Release Another Shoe Until Black People Unite - TRENDING,,http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,BuzzFeed Fake News Report
Article,Crime,Fake,Woman With Too Much Makeup Mistaken As Clown; Attacked By Angry Mob - Daily Finesser,,https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,BuzzFeed Fake News Report
Article,Politics,Fake,WHOA! Hillary Caught On Hot Mic Trashing Beyonce’ With RACIAL SLURS!,,http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,BuzzFeed Fake News Report
Article,Crime,Fake,"Atlanta Officer Kills Black Woman, Injures Child, Following Breastfeeding Argument",,http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,BuzzFeed Fake News Report
Article,Crime,Fake,Woman Puts Poison On Her Vagina To Kill Husband When He Went Down On Her,,http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,BuzzFeed Fake News Report
Article,Crime,Fake,Morgue worker arrested after giving birth to a dead man’s baby,,http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,BuzzFeed Fake News Report
Article,Politics,Fake,Actor Bill Murray Announces 2016 Presidential Run,,http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,BuzzFeed Fake News Report
Article,Politics,Fake,"Pope Francis Shocks World, Endorses Hillary Clinton for President, Releases Statement",,http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,BuzzFeed Fake News Report
Article,Politics,Fake,"Babysitter Discovers “Clown Doll” In Kid’s Room Was A Real Person, Raping The Child At Night - TRENDING",,http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,BuzzFeed Fake News Report
Article,Politics,Fake,Trump Claims America Should Never Have Given Canada Its Independence,,http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,BuzzFeed Fake News Report
Article,Animals,Fake,Zimbabwe: Pride of lions kills 5 poachers and injures 3 others,,http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,BuzzFeed Fake News Report
Article,Politics,Fake,The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory,http://abcnews.com.co,http://abcnews.com.co/amish-america-commit-vote-donald-trump-mathematically-guaranteeing-presidential-victory/,Facebook fake-news writer: ‘I think Donald Trump is in the White House because of me’
Article,Politics,Fake,Gay Wedding Mobile Vans Cashing In On The Legalization Of Gay Marriage,http://abcnews.com.co,http://abcnews.com.co/gay-wedding-mobile-vans-legalization-of-gay-marriage/,Facebook fake-news writer: ‘I think Donald Trump is in the White House because of me’Type,Category,Credibility,Title,Subtitle,Creator/URL,Content,Retrieval Source
Article,Politics,Real,How Trump kept Gorsuch nomination a secret until the clock struck 8,,https://www.washingtonpost.com/,https://www.washingtonpost.com/politics/how-trump-kept-gorsuch-nomination-a-secret-until-the-clock-struck-8/2017/01/31/c745c23c-e828-11e6-bf6f-301b6b443624_story.html?utm_term=.6df0b9be8d10,https://news.google.com/
Article,Tech,Real,Cheaper Rivals Eat Away at Apple Sales in China,,http://www.wsj.com/,https://www.wsj.com/articles/cheaper-rivals-eat-away-at-apple-sales-in-china-1485924305,https://news.google.com/
Article,Crime,Real,Police kill man whose stabbing rampage injured 3 on Sunset Boulevard in Hollywood,,http://www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-stabbing-shooting-hollywood-20170131-story.html,https://news.google.com/
Article,Tech,Real,Google will air a commercial for its Home smart speaker during Sunday’s Super Bowl,,https://9to5google.com,https://9to5google.com/2017/01/31/google-home-super-bowl-sunday-cmmercial/,https://news.google.com/
Article,Music,Real,Daft Punk's Albums Ranked From Worst to Best: Critic's Picks,,http://www.billboard.com,http://www.billboard.com/articles/news/dance/7676249/daft-punk-albums-ranked-best-worst-list,https://news.google.com/
Article,Tech,Real,Elon Musk Climbs On The Trump Train — But Why?,,http://www.huffingtonpost.com/,http://www.huffingtonpost.com/entry/elon-musk-climbs-on-the-trump-train-but-why_us_5890fe85e4b02c397c178d83,https://news.google.com/
Article,Politics,Real,Ex-UN Chief Ban Says He Won’t Run for Korea Presidency,,https://www.bloomberg.com,https://www.bloomberg.com/politics/articles/2017-02-01/ex-un-chief-ban-says-he-won-t-run-for-south-korean-presidency,https://news.google.com/
Article,Politics,Real,Democrats force delays in votes on 3 Cabinet nominees,,http://www.tucsonnewsnow.com,http://www.tucsonnewsnow.com/story/34385461/democrats-force-delays-in-votes-on-3-cabinet-nominees,https://news.google.com/
Article,Science,Real,Milky Way galaxy is being pushed across the universe,,http://www.cnn.com,http://www.cnn.com/2017/01/31/world/milky-way-dipole-repeller-space-trnd/,https://news.google.com/
Article,Politics,Real,Brexit Bulletin: The Price of Article 50,,https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2017-02-01/brexit-bulletin-the-price-of-article-50,https://news.google.com/
Article,World,Real,"Schools are reopening in Mosul, after two years of jihadist rule",,http://www.economist.com,http://www.economist.com/news/middle-east-and-africa/21715931-hard-work-restoration-begins-schools-are-reopening-mosul-after-two,http://www.economist.com
Article,Race,Real,Native Americans Struggle To Find Housing While Facing Discrimination,,http://www.npr.org,http://www.npr.org/2017/02/01/512887794/native-americans-struggle-to-find-housing-while-facing-discrimination,http://www.npr.org
Article,Politics,Real,Matteo Renzi pushes for early elections,,http://www.economist.com/,http://www.economist.com/news/europe/21715723-humiliated-voters-and-courts-former-prime-minister-still-hopes-retain-political,http://www.economist.com/
Article,Tech,Real,"Even Without A Headphone Jack, iPhone 7 Boosts Apple's Sales",,http://www.npr.org,http://www.npr.org/2017/02/01/512788585/even-without-a-headphone-jack-iphone-7-boosts-apple-s-sales,http://www.npr.org
Article,Race,Real,The Quebec City attack exposes Canada’s dangerous right-wing fringe,Islamophobia is a bigger problem than Canadians thought it was,http://www.economist.com/,http://www.economist.com/news/americas/21715980-islamophobia-bigger-problem-canadians-thought-it-was-quebec-city-attack-exposes,http://www.economist.com/
Article,Politics,Real,Senate Republicans Defy Democrats' Boycott To Advance Trump Nominees,,http://www.npr.org,http://www.npr.org/2017/02/01/512840513/senate-republicans-break-democrats-boycott-to-advance-trump-nominees,http://www.npr.org
Article,Politics,Real,"President Trump's Tweets, Annotated",,http://www.npr.org,http://www.npr.org/2017/01/27/511216062/president-trumps-tweets-annotated,http://www.npr.org
Article,Entertainment,Real,Beyonce Expecting Twins With Jay Z,,http://abcnews.go.com/,http://abcnews.go.com/Entertainment/beyonce-expecting-twins-jay/story?id=45197870,http://abcnews.go.com/
Article,Tech,Real,Qualcomm is again under attack for living large off its patent portfolio,,http://www.economist.com/,http://www.economist.com/news/business/21715705-its-biggest-customer-apple-suing-it-1bn-qualcomm-again-under-attack-living,http://www.economist.com/
Article,Tech,Real,Battle of the clouds: tech titans’ results,,http://www.economist.com/,https://espresso.economist.com/5f1d3986fae10ed2994d14ecd89892d7,http://www.economist.com/
Article,Finance,Real,"Credit-Card Fraud Keeps Rising, Despite New Security Chips—Study",Increase in identity fraud driven by rise in fraudulent online purchases,https://www.wsj.com,https://www.wsj.com/articles/credit-card-fraud-keeps-rising-despite-new-security-chipsstudy-1485954000,https://www.wsj.com
Article,Tech,Real,What a Brain Surgeon's Virtual Reality Tool and Pokemon Go Have in Common,,http://abcnews.go.com/,http://abcnews.go.com/Health/brain-surgeons-virtual-reality-tool-pokemon-common/story?id=40781190,http://abcnews.go.com/
Article,Sexuality,Real,1st Inmate to Get Sex Reassignment Moves to Female Prison,,http://abcnews.go.com/,http://abcnews.go.com/US/wireStory/1st-inmate-sex-reassignment-moves-female-prison-45207950,http://abcnews.go.com/
Article,Animals,Real,Silly Baby Panda Falls Flat on Its Face During Public Debut of 23 Giant Panda Cubs in China,,http://abcnews.go.com/,http://abcnews.go.com/Lifestyle/silly-baby-panda-falls-flat-face-public-debut/story?id=42481478,http://abcnews.go.com/
Article,Music,Real,"Meet the Coach for Lady Gaga, Super Bowl Halftime Star",Vocal coach Don Lawrence specializes in a classical opera technique that’s been modernized for pop singers.,https://www.wsj.com,https://www.wsj.com/articles/meet-the-coach-for-lady-gaga-super-bowl-halftime-star-1485959205,https://www.wsj.com
Article,Science,Real,Finding the Speed of Evolution in a Study of Bird Beaks,,https://www.nytimes.com,https://www.nytimes.com/section/science?action=click&pgtype=Homepage&region=TopBar&module=HPMiniNav&contentCollection=Science&WT.nav=page,https://www.nytimes.com
Article,World,Real,"Immigration Courts to Focus on Detainees, Not Kids' Cases",,http://abcnews.go.com/,http://abcnews.go.com/International/wireStory/immigration-courts-focus-detainees-kids-cases-45206376,http://abcnews.go.com/
Article,Science,Real,"Venus Smiled, With a Mysterious Wave Across Its Atmosphere",,https://www.nytimes.com,https://www.nytimes.com/2017/01/16/science/venus-wave-akatsuki.html?rref=collection%2Fsectioncollection%2Fspace&action=click&contentCollection=space&region=rank&module=package&version=highlights&contentPlacement=1&pgtype=sectionfront,https://www.nytimes.com
Article,Crime,Real,Young boy found wandering alone in inner-Brisbane carpark; family contacted,,http://www.abc.net.au,http://www.abc.net.au/news/2015-01-31/young-boy-found-wandering-alone-in-gabba-carpark-in-brisbane/6060144,http://www.abc.net.au/news/archive
Article,Education,Real,Michael Bloomberg on How to Succeed in Business,,https://www.nytimes.com,https://www.nytimes.com/2017/02/01/education/edlife/mike-bloomberg-salomon-brothers.html?rref=collection%2Fsectioncollection%2Feducation&action=click&contentCollection=education&region=rank&module=package&version=highlights&contentPlacement=2&pgtype=sectionfront,https://www.nytimes.com
Article,Crime,Real,German teenager sentenced to six years for stabbing police officer,,https://en.wikinews.org,https://en.wikinews.org/wiki/German_teenager_sentenced_to_six_years_for_stabbing_police_officer,https://en.wikinews.org
Article,Sports,Real,New Georgia Tech Basketball Coach Produces Immediate Results,"ATLANTA — Halfway through his first Atlantic Coast Conference season, Coach Josh Pastner has exceeded expectations at Georgia Tech.",https://www.nytimes.com,https://www.nytimes.com/2017/01/31/sports/ncaabasketball/georgia-tech-josh-pastner.html?rref=collection%2Fsectioncollection%2Fsports,https://www.nytimes.com
Article,Politics,Real,Malaysian democrats pin their hopes on the country’s royals,But they make unlikely saviours,http://www.economist.com/,http://www.economist.com/news/asia/21715699-they-make-unlikely-saviours-malaysian-democrats-pin-their-hopes-countrys-royals,http://www.economist.com/
Article,World,Real,Romania protests grow over corruption decree,"The Romanian capital, Bucharest, has seen one of its largest ever anti-government protests after a decree was passed that could free dozens of officials jailed for corruption.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38836322,http://www.bbc.com
Article,Politics,Real,Donald Trump Urges Senate GOP to Scrap 60-Vote Rule for Court Pick,President suggests going ‘nuclear’ to ensure Judge Neil Gorsuch’s confirmation,https://www.wsj.com/,https://www.wsj.com/articles/donald-trump-urges-senate-to-scrap-60-vote-rule-for-court-pick-1485971396,https://www.wsj.com
Article,Politics,Real,Hillary Clinton writing book reflecting on her election loss,,http://www.bbc.com,http://www.bbc.com/news/world-us-canada-38835770,http://www.bbc.com
Article,Politics,Real,Two GOP Senators Say They Will Oppose Education Nominee Betsy DeVos,Republicans can’t afford to lose any more votes and be able to assure confirmation with GOP support alone,https://www.wsj.com/,https://www.wsj.com/articles/two-gop-senators-say-they-will-oppose-education-nominee-betsy-devos-1485981755,https://www.wsj.com/
Article,Politics,Real,"Officials Cancel Breitbart News Editor Talk at UC Berkeley After Protesters Throw Smoke Bombs, Flares at Building",,http://abcnews.go.com,http://abcnews.go.com/US/wireStory/officials-cancel-breitbart-news-editor-talk-uc-berkeley-45208975,http://abcnews.go.com
Article,Politics,Real,White House: 'We are officially putting Iran on notice',,http://www.bbc.com,http://www.bbc.com/news/world-us-canada-38832407,http://www.bbc.com
Article,Politics,Real,Brexit: MPs overwhelmingly back Article 50 bill,,http://www.bbc.com,http://www.bbc.com/news/uk-politics-38833883,http://www.bbc.com
Article,Tech,Real,How Facebook is starting to tackle fake news in your news feed,,http://www.bbc.com,http://www.bbc.co.uk/newsbeat/article/38827101/how-facebook-is-starting-to-tackle-fake-news-in-your-news-feed,http://www.bbc.com
Article,Finance,Real,"Facebook Revenue Jumps Again, Buoyed by Mobile Advertising",Top-line growth was more than expected; Profit leaps to $3.57 billion,https://www.wsj.com/,https://www.wsj.com/articles/facebook-revenue-jumps-again-1485983393,https://www.wsj.com/
Article,Education,Real,University applications fall with drop in nursing and EU students,University applications have fallen by 5% - with the decline driven by a drop in European Union students and a sharp fall in nursing applications.,http://www.bbc.com,http://www.bbc.com/news/education-38827189,http://www.bbc.com
Article,Politics,Real,Dutch to hand count votes over hacking fears,"All votes in next month's Dutch election will be counted by hand to counter the threat of hacking, the government says.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38833634,http://www.bbc.com
Article,Politics,Real,France's Fillon under pressure to end presidential bid,"French centre-right presidential candidate Francois Fillon has denounced a left-wing ""institutional coup d'etat"" as he faces mounting pressure to quit the presidential race.",http://www.bbc.com,http://www.bbc.com/news/world-europe-38831525?intlink_from_url=http://www.bbc.com/news/topics/f671cc6e-8cdd-4351-90d1-fcc3bae18534/france-presidential-election-2017&link_location=live-reporting-story,http://www.bbc.com
Article,Politics,Real,The Uneasy Politician: Janet Yellen Is Struggling to Fend Off the Fed’s Many Critics,"Under fire from Republicans and President Trump, the chairwoman has struggled to win over skeptical members of Congress and fend off calls for greater oversight",https://www.wsj.com/,https://www.wsj.com/articles/janet-yellens-uneasy-new-role-defending-the-fed-from-historic-political-pressure-1485966696,https://www.wsj.com/
Article,Science,Real,Indian children died after 'eating lychees on empty stomach',US and Indian scientists say a mystery illness that killed more than 100 children a year in northern India was caused by eating lychees on an empty stomach.,http://www.bbc.com,http://www.bbc.com/news/world-asia-india-38831240,http://www.bbc.com
Article,Politics,Real,Donald Trump 'taking steps to abolish Environmental Protection Agency',"Myron Ebell, a key presidential aide, said climate education material could be ‘withdrawn’ and review of car fuel efficiency standards could be reopened",https://www.theguardian.com,https://www.theguardian.com/us-news/2017/feb/02/donald-trump-plans-to-abolish-environmental-protection-agency,https://www.theguardian.com
Article,Crime,Real,2 Held Hostage in Ongoing Situation at Delaware Prison,"Two prison employees have been released, along with dozens of inmates, during an ongoing hostage situation in Delaware, according to authorities",http://abcnews.go.com/,http://abcnews.go.com/US/hostage-situation-ongoing-delaware-prison/story?id=45198894,http://abcnews.go.com/
Article,Politics,Real,Senate Confirms Rex Tillerson as Sec'y of State,,http://abcnews.go.com/,http://abcnews.go.com/Politics/wireStory/latest-gop-rule-back-price-mnuchin-45191596?cid=clicksource_4380645_1_hero_headlines_headlines_hed,http://abcnews.go.com/
