Type,Category,Credibility,Title,Subtitle,Creator/URL,Content,Retrieval Source
Article,Politics,Real,How Trump kept Gorsuch nomination a secret until the clock struck 8,,https://www.washingtonpost.com/,https://www.washingtonpost.com/politics/how-trump-kept-gorsuch-nomination-a-secret-until-the-clock-struck-8/2017/01/31/c745c23c-e828-11e6-bf6f-301b6b443624_story.html?utm_term=.6df0b9be8d10,https://news.google.com/
Article,Tech,Real,Cheaper Rivals Eat Away at Apple Sales in China,,http://www.wsj.com/,https://www.wsj.com/articles/cheaper-rivals-eat-away-at-apple-sales-in-china-1485924305,https://news.google.com/
Article,Crime,Real,Police kill man whose stabbing rampage injured 3 on Sunset Boulevard in Hollywood,,http://www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-stabbing-shooting-hollywood-20170131-story.html,https://news.google.com/
Article,Tech,Real,Google will air a commercial for its Home smart speaker during Sunday’s Super Bowl,,https://9to5google.com,https://9to5google.com/2017/01/31/google-home-super-bowl-sunday-cmmercial/,https://news.google.com/
Article,Music,Real,Daft Punk's Albums Ranked From Worst to Best: Critic's Picks,,http://www.billboard.com,http://www.billboard.com/articles/news/dance/7676249/daft-punk-albums-ranked-best-worst-list,https://news.google.com/
Article,Tech,Real,Elon Musk Climbs On The Trump Train — But Why?,,http://www.huffingtonpost.com/,http://www.huffingtonpost.com/entry/elon-musk-climbs-on-the-trump-train-but-why_us_5890fe85e4b02c397c178d83,https://news.google.com/
Article,Politics,Real,Ex-UN Chief Ban Says He Won’t Run for Korea Presidency,,https://www.bloomberg.com,https://www.bloomberg.com/politics/articles/2017-02-01/ex-un-chief-ban-says-he-won-t-run-for-south-korean-presidency,https://news.google.com/
Article,Politics,Real,Democrats force delays in votes on 3 Cabinet nominees,,http://www.tucsonnewsnow.com,http://www.tucsonnewsnow.com/story/34385461/democrats-force-delays-in-votes-on-3-cabinet-nominees,https://news.google.com/
Article,Science,Real,Milky Way galaxy is being pushed across the universe,,http://www.cnn.com,http://www.cnn.com/2017/01/31/world/milky-way-dipole-repeller-space-trnd/,https://news.google.com/
Article,Politics,Real,Brexit Bulletin: The Price of Article 50,,https://www.bloomberg.com,https://www.bloomberg.com/news/articles/2017-02-01/brexit-bulletin-the-price-of-article-50,https://news.google.com/
Article,World,Real,"Schools are reopening in Mosul, after two years of jihadist rule",,http://www.economist.com,http://www.economist.com/news/middle-east-and-africa/21715931-hard-work-restoration-begins-schools-are-reopening-mosul-after-two,http://www.economist.com
Article,Race,Real,Native Americans Struggle To Find Housing While Facing Discrimination,,http://www.npr.org,http://www.npr.org/2017/02/01/512887794/native-americans-struggle-to-find-housing-while-facing-discrimination,http://www.npr.org
Article,Politics,Real,Matteo Renzi pushes for early elections,,http://www.economist.com/,http://www.economist.com/news/europe/21715723-humiliated-voters-and-courts-former-prime-minister-still-hopes-retain-political,http://www.economist.com/
Article,Tech,Real,"Even Without A Headphone Jack, iPhone 7 Boosts Apple's Sales",,http://www.npr.org,http://www.npr.org/2017/02/01/512788585/even-without-a-headphone-jack-iphone-7-boosts-apple-s-sales,http://www.npr.org
Article,Race,Real,The Quebec City attack exposes Canada’s dangerous right-wing fringe,Islamophobia is a bigger problem than Canadians thought it was,http://www.economist.com/,http://www.economist.com/news/americas/21715980-islamophobia-bigger-problem-canadians-thought-it-was-quebec-city-attack-exposes,http://www.economist.com/
Article,Politics,Real,Senate Republicans Defy Democrats' Boycott To Advance Trump Nominees,,http://www.npr.org,http://www.npr.org/2017/02/01/512840513/senate-republicans-break-democrats-boycott-to-advance-trump-nominees,http://www.npr.org
Article,Politics,Real,"President Trump's Tweets, Annotated",,http://www.npr.org,http://www.npr.org/2017/01/27/511216062/president-trumps-tweets-annotated,http://www.npr.org
