Type,Category,Credibility,Title,Content,Retrieval Source
Article,Politics,Fake,NPR: 25 Million Votes For Clinton ‘Completely Fake’ – She Lost Popular Vote,http://yournewswire.com/npr-25-million-fake-clinton-votes/,http://www.snopes.com/25-million-fraud-votes-for-clinton/
Tweet,Politics,Fake,"Trump 100% photoshopped his hand bigger for this picture hanging in the white house, which is the most embarassing thing I've ever seen",http://archive.is/4ONy5,http://www.snopes.com/trump-photoshopped-hands/
Article,Sexuality,Fake,Female Legislators Unveil ‘Male Ejaculation Bill’ Forbidding The Disposal Of Unused Semen,http://www.burrardstreetjournal.com/female-legislators-unveil-male-ejaculation-bill/,http://www.snopes.com/unused-semen-bill/
Article,Politics,Fake,"""Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide""",http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman arrested for defecating on boss’ desk after winning the lottery""",https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,BuzzFeed Fake News Report
Article,Politics,Fake,"""Pope Francis Shocks World, Endorses Donald Trump for President, Releases Statement""",Ending The Fed (removed),BuzzFeed Fake News Report
Article,Politics,Fake,"""Trump Offering Free One-Way Tickets to Africa &amp; Mexico for Those Who Wanna Leave America""",http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Cinnamon Roll Can Explodes Inside Man’s Butt During Shoplifting Incident""",https://empireherald.com/cinnamon-roll-can-explodes-inside-mans-butt-during-shoplifting-incident/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Florida man dies in meth-lab explosion after lighting farts on fire"" ",https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,BuzzFeed Fake News Report
Article,Politics,Fake,"""FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide""",Denver Guardian (removed),BuzzFeed Fake News Report
Article,Politics,Fake,"""RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album""",http://heaviermetal.net/rage-against-the-machine-to-reunite-release-donald-trump-diss-album,BuzzFeed Fake News Report
Article,Crime,Fake,"""Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin""",http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,BuzzFeed Fake News Report
Article,Politics,Fake,"""ISIS Leader Calls for American Muslim Voters to Support Hillary Clinton""",http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,BuzzFeed Fake News Report
Article,Politics,Fake,Hillary Clinton In 2013: “I Would Like To See People Like Donald Trump Run For Office; They’re Honest And Can’t Be Bought”,http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman Stabbed Her Husband To Death Because He Wouldn't Eat Her ASS!""",http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,BuzzFeed Fake News Report
Article,World,Fake,"""Robredo: If Elected Vice President Of Duterte, I Will Immediately Resign My Post""",https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Woman murders college roommate for sending too many Candy Crush requests""",https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,BuzzFeed Fake News Report
Article,Politics,Fake,"""Donald Trump Protester Speaks Out: ""I Was Paid $3,500 To Protest Trump's Rally""",http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,BuzzFeed Fake News Report
Article,World,Fake,"""Drug Kingpin Joaquin 'El Chapo' Guzman Escapes Mexican Prison For The Third Time""",http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,BuzzFeed Fake News Report
Article,Politics,Fake,Obama passed law for grandparents to get all their grandchildren every weekend,http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,BuzzFeed Fake News Report
