Type,Category,Credibility,Title,Creator/URL,Content,Retrieval Source
,,Real,Massachusetts College Will Award Full Scholarship to a Refugee in Response to Trump's Executive Order,breitbart.com,http://www.breitbart.com/big-government/2017/02/04/massachusetts-college-will-award-full-scholarship-refugee-response-trumps-executive-order/?utm_source=facebook&utm_medium=social,
,,Real,Veteran Sending Hundreds of Pizzas to U.S. Troops Overseas for Super Bowl Sunday,breitbart.com,http://www.breitbart.com/big-government/2017/02/04/veteran-sending-hundreds-pizzas-u-s-troops-overseas-super-bowl-sunday/?utm_source=facebook&utm_medium=social,
,,Fake,Lt. Governor of California Gavin Newsom Smears MILO as 'White Supremacist',breitbart.com,http://www.breitbart.com/milo/2017/02/03/lt-governor-california-gavin-newsom-smear-milo-white-supremacist/?utm_source=facebook&utm_medium=social,
,,Fake,Palin: “Even The French Understand That Slavery Wasn’t Our Fault, Because The Negroes Liked It”,politicalo.com,http://politicalo.com/palin-even-the-french-understand-that-slavery-wasnt-our-fault-because-the-negroes-liked-it/,
,,Fake,29 Juicy Secrets That Could Ruin People's Lives,http://tfln.co,http://www.entertainmentchatter.com/hra7,
,,Fake,John Hagee: “God Made All Lesbians Flat So They Could Be Identified By Normal People Easily”,religionlo.com,http://religionlo.com/god-made-all-lesbians-flat/,
,,Fake,Coulter: “It’s Been Centuries Since Republicans Abolished Slavery; No Reason For Them Not To Be Back In Their Own Countries By Now”,politicot.com,http://politicot.com/coulter-centuries-since-republicans-abolished-slavery-no-reason-not-back-countries-now/,
,,Fake,Jeanine Pirro: “The Best Place In The World To Be A Drunk Driver Is NYC Because There Are Hordes Of Illegals Walking There”,politicops.com,http://politicops.com/jeanine-pirro-best-place-world-drunk-driver-nyc-hordes-illegals-walking/,
,,Fake,Kellyanne Conway: “Racism Is A Small Price To Pay For Being Great Again”,politicot.com,http://politicot.com/kellyanne-conway-racism-small-price-pay-great/,
,,Fake,Kellyanne Conway: “Racism Is A Small Price To Pay For Being Great Again”,politicot.com,http://politicot.com/kellyanne-conway-racism-small-price-pay-great/,
,,Real,Newslo Archives | Snopes.com,snopes.com,http://www.snopes.com/tag/newslo/,
,,Fake,Donald Trump Jr. Claims Quebec Shooter Was Muslim Because “Christians Aren’t Allowed To Kill”,politicalo.com,http://politicalo.com/donald-trump-jr-claims-quebec-shooter-muslim-christians-arent-allowed-kill/,
,,Fake,Kellyanne Conway: “Racism Is A Small Price To Pay For Being Great Again”,politicot.com,http://politicot.com/kellyanne-conway-racism-small-price-pay-great/,
,,Fake,Bristol Palin: “All Black Actors Look The Same, How Can We Choose One To Get The Oscar?”,politicalo.com,http://politicalo.com/bristol-palin-all-black-actors-look-the-same-how-can-we-choose-one-to-get-the-oscar/,
,,Fake,Politics,politicops.com,http://politicops.com/politics/,
,,Fake,Palin Suggests Printing Food Stamps Exclusively In English “To Prevent Immoral Use By Immigrants”,politicalo.com,http://politicalo.com/palin-suggests-printing-food-stamps-exclusively-english-prevent-immoral-use-immigrants/1,
,,Real,Turkey's purge of alleged Gulenists has spread uncertainty through the economy,economist.com,http://www.economist.com/news/europe/21716103-once-among-countrys-most-dynamic-entrepreneurs-anatolian-tigers-are-having-their-firms?fsrc=scn/fb/te/bl/ed/,
,,Real,Why closing its doors to refugees is unlikely to make America safer,economist.com,http://www.economist.com/news/briefing/21716078-most-terrorism-home-grown-and-travel-restrictions-will-encourage-radicalisation-closing-its?fsrc=scn/fb/te/bl/ed/closingitsdoorstorefugeesisunlikelytomakeamericasafer,
,,Real,In Cuba, app stores pay rent,economist.com,http://www.economist.com/news/americas/21716099-ingenious-answer-digital-deprivation-cuba-app-stores-pay-rent?fsrc=scn/fb/te/bl/ed/incubaappstorespayrent,
,,Real,East Grinstead and its environs are home to an unusually rich array of rare religions,economist.com,http://www.economist.com/news/britain/21716065-scientologists-mormons-opus-dei-and-others-have-settled-around-east-grinstead-why?fsrc=scn/fb/te/bl/ed/,
,,Fake,Please Stop Sharing Links to These Sites,patheos.com,http://www.patheos.com/blogs/dispatches/2016/09/18/please-stop-sharing-links-to-these-sites/,
,,Real,How Black Books Lit My Way Along The Appalachian Trail,buzzfeed.com,https://www.buzzfeed.com/rahawahaile/how-black-books-lit-my-way-along-the-appalachian-trail?bffbmain&ref=bffbmain&utm_term=4ldqpgp#4ldqpgp,
,,Real,Here's What People Are Buying On Amazon Right Now,buzzfeed.com,https://www.buzzfeed.com/sarahhan/heres-what-people-are-buying-on-amazon-right-now-02-03-2017?bffbmain&ref=bffbmain&utm_term=4ldqpgp#4ldqpgp,
,,Fake,Only '90s Kids Will Be Able To Pass This Early Internet Quiz,buzzfeed.com,https://www.buzzfeed.com/keijiroabe/90s-kids-only?bffbmain&ref=bffbmain&utm_term=4ldqpgp#4ldqpgp,
,,Real,Mariah Carey Works Out In High Heels Because She's Mariah Carey,buzzfeed.com,https://www.buzzfeed.com/benhenry/just-casually-working-out?bffbmain&ref=bffbmain&utm_term=4ldqpgp#4ldqpgp,
,,Real,37 American Icons Who You Might Not Know Were Immigrants,buzzfeed.com,https://www.buzzfeed.com/gabrielsanchez/american-icons-who-you-might-not-know-were-immigrants?bffbmain&ref=bffbmain&utm_term=4ldqpgp#4ldqpgp,
,,Fake,Betsy DeVos Plans To Establish A Nationwide TV Program Designed To “Cure Gays Through Television”,politicono.com,http://politicono.com/betsy-devos-plans-establish-nationwide-tv-program-designed-cure-gays-television/,
