Content,Credibility
http://yournewswire.com/npr-25-million-fake-clinton-votes/,Fake
http://archive.is/4ONy5,Fake
http://www.burrardstreetjournal.com/female-legislators-unveil-male-ejaculation-bill/,Fake
http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,Fake
https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,Fake
Ending The Fed (removed),Fake
http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,Fake
https://empireherald.com/cinnamon-roll-can-explodes-inside-mans-butt-during-shoplifting-incident/,Fake
https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,Fake
Denver Guardian (removed),Fake
http://heaviermetal.net/rage-against-the-machine-to-reunite-release-donald-trump-diss-album,Fake
http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,Fake
http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,Fake
http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,Fake
http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,Fake
https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,Fake
https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,Fake
http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,Fake
http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,Fake
http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,Fake
http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,Fake
http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,Fake
